id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
14588	HCMC1343		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5073930			8	8	2020-01-09	2020-01-09
14589	HCMC1555		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5074101			8	8	2020-01-09	2020-01-09
14590	HCMC1550		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5074104			8	8	2020-01-09	2020-01-09
14591	HCMC1590		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.2.1	draft	ENA SRA	SRR5074159			8	8	2020-01-09	2020-01-09
14592	HCMC0931		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067388			8	8	2020-01-09	2020-01-09
14593	HCMC0932		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067431			8	8	2020-01-09	2020-01-09
14594	HCMC0976		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067442			8	8	2020-01-09	2020-01-09
14595	HCMC0979		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067460			8	8	2020-01-09	2020-01-09
14596	HCMC0985		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067491			8	8	2020-01-09	2020-01-09
14597	HCMC0996		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067494			8	8	2020-01-09	2020-01-09
14598	HCMC0929		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067555			8	8	2020-01-09	2020-01-09
14599	HCMC0982		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5067635			8	8	2020-01-09	2020-01-09
