id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
11779	03-4434		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791883			8	1	2020-01-07	2020-01-07
11780	03-4556		USA	North America				Mycobacterium bovis	2003	Cow	SB0971	EU1			draft	ENA SRA	SRR1791884			8	1	2020-01-07	2020-01-07
11781	03-5025		USA	North America				Mycobacterium bovis	2003	Cow	SB0140	EU1			draft	ENA SRA	SRR1791885			8	1	2020-01-07	2020-01-07
11782	03-5416		USA	North America				Mycobacterium bovis	2003	Cow	SB0145	EU1			draft	ENA SRA	SRR1791888			8	1	2020-01-07	2020-01-07
11783	03-5734		USA	North America				Mycobacterium bovis	2003	Pig	SB0145	EU1			draft	ENA SRA	SRR1791889			8	1	2020-01-07	2020-01-07
11784	03-6018		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791890			8	1	2020-01-07	2020-01-07
11785	03-6196		USA	North America				Mycobacterium bovis	2003	Cow	SB0121	EU2			draft	ENA SRA	SRR1791891			8	1	2020-01-07	2020-01-07
11786	03-6776		USA	North America				Mycobacterium bovis	2003	Cow	SB0673	EU1			draft	ENA SRA	SRR1791892			8	1	2020-01-07	2020-01-07
11787	04-0105		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791893			8	1	2020-01-07	2020-01-07
11788	04-1382		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791900			8	1	2020-01-07	2020-01-07
11789	04-1688		USA	North America				Mycobacterium bovis	2004	Cow	SB0327	EU1			draft	ENA SRA	SRR1791901			8	1	2020-01-07	2020-01-07
11790	04-2019		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791905			8	1	2020-01-07	2020-01-07
11791	04-2067		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791906			8	1	2020-01-07	2020-01-07
11792	04-2177		USA	North America				Mycobacterium bovis	2004	Cow	SB0327	EU1			draft	ENA SRA	SRR7240352			8	1	2020-01-07	2020-01-07
11793	04-2676		USA	North America				Mycobacterium bovis	2004	Cow	SB1758	EU1			draft	ENA SRA	SRR1791911			8	1	2020-01-07	2020-01-07
11794	04-3251		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR7240351			8	1	2020-01-07	2020-01-07
11795	04-5090		USA	North America				Mycobacterium bovis	2004	Cow	SB0327	EU1			draft	ENA SRA	SRR1791913			8	1	2020-01-07	2020-01-07
11796	04-5337		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791914			8	1	2020-01-07	2020-01-07
11797	04-5382		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791915			8	1	2020-01-07	2020-01-07
11798	04-5391		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791916			8	1	2020-01-07	2020-01-07
11799	04-5618		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791917			8	1	2020-01-07	2020-01-07
11800	04-5676		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791918			8	1	2020-01-07	2020-01-07
11801	04-6082		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791919			8	1	2020-01-07	2020-01-07
11802	04-6310		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791920			8	1	2020-01-07	2020-01-07
11803	04-6401		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791921			8	1	2020-01-07	2020-01-07
11804	04-6402		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791922			8	1	2020-01-07	2020-01-07
11805	04-7017		USA	North America				Mycobacterium bovis	2004	Cow	SB0145	EU1			draft	ENA SRA	SRR1791923			8	1	2020-01-07	2020-01-07
11806	04-7038		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791924			8	1	2020-01-07	2020-01-07
11807	04-7366		USA	North America				Mycobacterium bovis	2004	Cow	SB0327	EU1			draft	ENA SRA	SRR1791926			8	1	2020-01-07	2020-01-07
11808	04-7553		USA	North America				Mycobacterium bovis	2004	Cow	SB0971	EU1			draft	ENA SRA	SRR1791927			8	1	2020-01-07	2020-01-07
11809	04-8012		USA	North America				Mycobacterium bovis	2004	Cow	SB1502	EU1			draft	ENA SRA	SRR1791928			8	1	2020-01-07	2020-01-07
11810	04-8337		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791932			8	1	2020-01-07	2020-01-07
11811	04-8419		USA	North America				Mycobacterium bovis	2004	Cow	SB2014	EU1			draft	ENA SRA	SRR1791933			8	1	2020-01-07	2020-01-07
11812	04-8948		USA	North America				Mycobacterium bovis	2004	Cow	SB0673	EU1			draft	ENA SRA	SRR1791934			8	1	2020-01-07	2020-01-07
11813	05-1239		USA	North America				Mycobacterium bovis	2005	Cow	SB1745	EU1			draft	ENA SRA	SRR1791936			8	1	2020-01-07	2020-01-07
11814	05-1365		USA	North America				Mycobacterium bovis	2005	Cow	SB0269	EU1			draft	ENA SRA	SRR1791937			8	1	2020-01-07	2020-01-07
11815	05-1385		USA	North America				Mycobacterium bovis	2005	Cow	SB0145	EU1			draft	ENA SRA	SRR1791938			8	1	2020-01-07	2020-01-07
11816	05-1568		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791939			8	1	2020-01-07	2020-01-07
11817	05-1686		USA	North America				Mycobacterium bovis	2005	Cow	SB0971	EU1			draft	ENA SRA	SRR1791941			8	1	2020-01-07	2020-01-07
11818	05-1687		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791942			8	1	2020-01-07	2020-01-07
11819	05-2592		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791943			8	1	2020-01-07	2020-01-07
11820	05-3100		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791944			8	1	2020-01-07	2020-01-07
11821	05-3214		USA	North America				Mycobacterium bovis	2005	Cow	SB0971	EU1			draft	ENA SRA	SRR1791945			8	1	2020-01-07	2020-01-07
11822	05-3852		USA	North America				Mycobacterium bovis	2005	Cow	SB0121	EU2			draft	ENA SRA	SRR1791946			8	1	2020-01-07	2020-01-07
11823	05-4451		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791948			8	1	2020-01-07	2020-01-07
11824	05-4707		USA	North America				Mycobacterium bovis	2005	Cow	SB0971	EU1			draft	ENA SRA	SRR1791949			8	1	2020-01-07	2020-01-07
11825	05-4738		USA	North America				Mycobacterium bovis	2005	Cow	SB0121	EU2			draft	ENA SRA	SRR7240359			8	1	2020-01-07	2020-01-07
11826	05-4965		USA	North America				Mycobacterium bovis	2005	Cervid	SB0121	EU2			draft	ENA SRA	SRR1791950			8	1	2020-01-07	2020-01-07
11827	05-5159		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791951			8	1	2020-01-07	2020-01-07
11828	05-5501		USA	North America				Mycobacterium bovis	2005	Cow	SB0971	EU1			draft	ENA SRA	SRR1791952			8	1	2020-01-07	2020-01-07
11829	05-5591		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791953			8	1	2020-01-07	2020-01-07
11830	05-5649		USA	North America				Mycobacterium bovis	2005	Cow	SB1040	EU1			draft	ENA SRA	SRR1791954			8	1	2020-01-07	2020-01-07
11831	05-5935		USA	North America				Mycobacterium bovis	2005	Cow	SB0145	EU1			draft	ENA SRA	SRR1791955			8	1	2020-01-07	2020-01-07
11832	05-6101		USA	North America				Mycobacterium bovis	2005	Cow	SB0971	EU1			draft	ENA SRA	SRR1791956			8	1	2020-01-07	2020-01-07
11833	05-6134		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791957			8	1	2020-01-07	2020-01-07
11834	05-6326		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791958			8	1	2020-01-07	2020-01-07
11835	05-6456		USA	North America				Mycobacterium bovis	2005	Cow	SB0121	EU2			draft	ENA SRA	SRR1791959			8	1	2020-01-07	2020-01-07
11836	05-6593		USA	North America				Mycobacterium bovis	2005	Cow	SB0121	EU2			draft	ENA SRA	SRR1791960			8	1	2020-01-07	2020-01-07
11837	05-7231		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791961			8	1	2020-01-07	2020-01-07
11838	05-7325		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791962			8	1	2020-01-07	2020-01-07
11839	05-7509		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791963			8	1	2020-01-07	2020-01-07
11840	05-7510		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791964			8	1	2020-01-07	2020-01-07
11841	05-7512		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791965			8	1	2020-01-07	2020-01-07
11842	05-7939		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791966			8	1	2020-01-07	2020-01-07
11843	05-8434		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791968			8	1	2020-01-07	2020-01-07
11844	05-8628		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791970			8	1	2020-01-07	2020-01-07
11845	05-8963		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791971			8	1	2020-01-07	2020-01-07
11846	05-8966		USA	North America				Mycobacterium bovis	2005	Cow	SB1499	EU1			draft	ENA SRA	SRR1791972			8	1	2020-01-07	2020-01-07
11847	05-9215		USA	North America				Mycobacterium bovis	2005	Cow	SB0673	EU1			draft	ENA SRA	SRR1791973			8	1	2020-01-07	2020-01-07
11848	05-9219		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791974			8	1	2020-01-07	2020-01-07
11849	05-9220		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791975			8	1	2020-01-07	2020-01-07
11850	05-9393		USA	North America				Mycobacterium bovis	2005	Cheese	SB0145	EU1			draft	ENA SRA	SRR1791976			8	1	2020-01-07	2020-01-07
11851	05-9563		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791977			8	1	2020-01-07	2020-01-07
11852	05-9659		USA	North America				Mycobacterium bovis	2005	Cow	SB0140	EU1			draft	ENA SRA	SRR1791978			8	1	2020-01-07	2020-01-07
11853	06-0165		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR7240358			8	1	2020-01-07	2020-01-07
11854	06-0661		USA	North America				Mycobacterium bovis	2006	Cow	SB0140	EU1			draft	ENA SRA	SRR1791987			8	1	2020-01-07	2020-01-07
11855	06-1754		USA	North America				Mycobacterium bovis	2006	Cow	SB0140	EU1			draft	ENA SRA	SRR1791998			8	1	2020-01-07	2020-01-07
11856	06-1916		USA	North America				Mycobacterium bovis	2006	Cow	SB0327	EU1			draft	ENA SRA	SRR1792001			8	1	2020-01-07	2020-01-07
11857	06-2548		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792003			8	1	2020-01-07	2020-01-07
11858	06-3192		USA	North America				Mycobacterium bovis	2006	Cow	SB0121	EU2			draft	ENA SRA	SRR1792005			8	1	2020-01-07	2020-01-07
11859	06-3430		USA	North America				Mycobacterium bovis	2006	Cow	SB1757	EU1			draft	ENA SRA	SRR1792008			8	1	2020-01-07	2020-01-07
11860	06-4348		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792013			8	1	2020-01-07	2020-01-07
11861	06-4387		USA	North America				Mycobacterium bovis	2006	Pig	SB0145	EU1			draft	ENA SRA	SRR1792014			8	1	2020-01-07	2020-01-07
11862	06-4904		USA	North America				Mycobacterium bovis	2006	Cow	SB0145	EU1			draft	ENA SRA	SRR1792015			8	1	2020-01-07	2020-01-07
11863	06-5345		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792016			8	1	2020-01-07	2020-01-07
11864	06-5439		USA	North America				Mycobacterium bovis	2006	Cow	SB1757	EU1			draft	ENA SRA	SRR1792017			8	1	2020-01-07	2020-01-07
11865	06-6079		USA	North America				Mycobacterium bovis	2006	Cow	SB0140	EU1			draft	ENA SRA	SRR1792020			8	1	2020-01-07	2020-01-07
11866	06-8427		USA	North America				Mycobacterium bovis	2006	Cow	SB1750	EU1			draft	ENA SRA	SRR1792026			8	1	2020-01-07	2020-01-07
11867	06-8471		USA	North America				Mycobacterium bovis	2006	Cow	SB0121	EU2			draft	ENA SRA	SRR1792027			8	1	2020-01-07	2020-01-07
11868	06-8591		USA	North America				Mycobacterium bovis	2006	Cow	SB1040	EU1			draft	ENA SRA	SRR1792028			8	1	2020-01-07	2020-01-07
11869	06-8716		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792029			8	1	2020-01-07	2020-01-07
11870	06-9163		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792030			8	1	2020-01-07	2020-01-07
11871	06-9164		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792031			8	1	2020-01-07	2020-01-07
11872	06-9596		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792033			8	1	2020-01-07	2020-01-07
11873	06-9653		USA	North America				Mycobacterium bovis	2006	Cow	SB0145	EU1			draft	ENA SRA	SRR1792034			8	1	2020-01-07	2020-01-07
11874	06-9741		USA	North America				Mycobacterium bovis	2006	Cow	SB0673	EU1			draft	ENA SRA	SRR1792035			8	1	2020-01-07	2020-01-07
11875	07-0554		USA	North America				Mycobacterium bovis	2007	Cow	SB0971	EU1			draft	ENA SRA	SRR1792036			8	1	2020-01-07	2020-01-07
11876	07-0676		USA	North America				Mycobacterium bovis	2007	Cow	SB0986	EU1			draft	ENA SRA	SRR1792039			8	1	2020-01-07	2020-01-07
11877	07-1437		USA	North America				Mycobacterium bovis	2007	Cow	SB0327	EU1			draft	ENA SRA	SRR1792045			8	1	2020-01-07	2020-01-07
11878	07-1682		USA	North America				Mycobacterium bovis	2007	Cow	SB1216	EU1			draft	ENA SRA	SRR1792046			8	1	2020-01-07	2020-01-07
11879	07-2063		USA	North America				Mycobacterium bovis	2007	Cow	SB0145	EU1			draft	ENA SRA	SRR1792047			8	1	2020-01-07	2020-01-07
11880	07-3041		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR7240478			8	1	2020-01-07	2020-01-07
11881	07-4480		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR1792051			8	1	2020-01-07	2020-01-07
11882	07-4628		USA	North America				Mycobacterium bovis	2007	Cow	SB2012	EU1			draft	ENA SRA	SRR1792052			8	1	2020-01-07	2020-01-07
11883	07-5683		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR1792060			8	1	2020-01-07	2020-01-07
11884	07-5810		USA	North America				Mycobacterium bovis	2007	Cow	SB0145	EU1			draft	ENA SRA	SRR1792063			8	1	2020-01-07	2020-01-07
11885	07-5817		USA	North America				Mycobacterium bovis	2007	Cow	SB0327	EU1			draft	ENA SRA	SRR1792064			8	1	2020-01-07	2020-01-07
11886	07-5844		USA	North America				Mycobacterium bovis	2007	Cow	SB1216	EU1			draft	ENA SRA	SRR1792065			8	1	2020-01-07	2020-01-07
11887	07-6003		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR1792066			8	1	2020-01-07	2020-01-07
11888	07-6182		USA	North America				Mycobacterium bovis	2007	Cow	SB0152	EU2			draft	ENA SRA	SRR1792068			8	1	2020-01-07	2020-01-07
11889	07-7140		USA	North America				Mycobacterium bovis	2007	Cow	SB0145	EU1			draft	ENA SRA	SRR1792071			8	1	2020-01-07	2020-01-07
11890	07-7143		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR1792072			8	1	2020-01-07	2020-01-07
11891	07-7431		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792074			8	1	2020-01-07	2020-01-07
11892	07-7606		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792075			8	1	2020-01-07	2020-01-07
11893	07-8467		USA	North America				Mycobacterium bovis	2007	Cow	SB0140	EU1			draft	ENA SRA	SRR1792078			8	1	2020-01-07	2020-01-07
11894	07-8626		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792079			8	1	2020-01-07	2020-01-07
11895	07-8997		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792080			8	1	2020-01-07	2020-01-07
11896	07-9331		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792081			8	1	2020-01-07	2020-01-07
11897	07-9683		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792082			8	1	2020-01-07	2020-01-07
11898	07-9684		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792083			8	1	2020-01-07	2020-01-07
11899	07-9689		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792084			8	1	2020-01-07	2020-01-07
11900	07-9692		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792085			8	1	2020-01-07	2020-01-07
11901	07-9846		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792086			8	1	2020-01-07	2020-01-07
11902	07-9879		USA	North America				Mycobacterium bovis	2007	Cow	SB0673	EU1			draft	ENA SRA	SRR1792087			8	1	2020-01-07	2020-01-07
11903	08-0531		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792091			8	1	2020-01-07	2020-01-07
11904	08-0532		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792092			8	1	2020-01-07	2020-01-07
11905	08-0533		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792093			8	1	2020-01-07	2020-01-07
11906	08-1137		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792099			8	1	2020-01-07	2020-01-07
11907	08-1587		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792101			8	1	2020-01-07	2020-01-07
11908	08-1960		USA	North America				Mycobacterium bovis	2008	Pig	SB0145	EU1			draft	ENA SRA	SRR1792107			8	1	2020-01-07	2020-01-07
11909	08-2416		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792108			8	1	2020-01-07	2020-01-07
11910	08-2429		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792109			8	1	2020-01-07	2020-01-07
11911	08-2431		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792110			8	1	2020-01-07	2020-01-07
11912	08-2434		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792111			8	1	2020-01-07	2020-01-07
11913	08-2614		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792113			8	1	2020-01-07	2020-01-07
11914	08-2771		USA	North America				Mycobacterium bovis	2008	Cow	SB0145	EU1			draft	ENA SRA	SRR1792117			8	1	2020-01-07	2020-01-07
11915	08-2906		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792118			8	1	2020-01-07	2020-01-07
11916	08-3549		USA	North America				Mycobacterium bovis	2008	Cow	SB0327	EU1			draft	ENA SRA	SRR1792120			8	1	2020-01-07	2020-01-07
11917	08-3760		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792122			8	1	2020-01-07	2020-01-07
11918	08-4496		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792125			8	1	2020-01-07	2020-01-07
11919	08-4497		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792126			8	1	2020-01-07	2020-01-07
11920	08-4512		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792127			8	1	2020-01-07	2020-01-07
11921	08-4513		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792128			8	1	2020-01-07	2020-01-07
11922	08-4514		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792129			8	1	2020-01-07	2020-01-07
11923	08-4515		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792130			8	1	2020-01-07	2020-01-07
11924	08-4516		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792131			8	1	2020-01-07	2020-01-07
11925	08-4517		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792132			8	1	2020-01-07	2020-01-07
11926	08-4518		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792133			8	1	2020-01-07	2020-01-07
11927	08-4519		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792134			8	1	2020-01-07	2020-01-07
11928	08-4520		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792135			8	1	2020-01-07	2020-01-07
11929	08-4521		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792136			8	1	2020-01-07	2020-01-07
11930	08-4522		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792137			8	1	2020-01-07	2020-01-07
11931	08-4523		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792138			8	1	2020-01-07	2020-01-07
11932	08-4524		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792139			8	1	2020-01-07	2020-01-07
11933	08-5055		USA	North America				Mycobacterium bovis	2008	Cow	SB0140	EU1			draft	ENA SRA	SRR7240480			8	1	2020-01-07	2020-01-07
11934	08-5155		USA	North America				Mycobacterium bovis	2008	Pig	SB0145	EU1			draft	ENA SRA	SRR1792146			8	1	2020-01-07	2020-01-07
11935	08-5176		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792147			8	1	2020-01-07	2020-01-07
11936	08-5295		USA	North America				Mycobacterium bovis	2008	Cow	SB0673	EU1			draft	ENA SRA	SRR1792148			8	1	2020-01-07	2020-01-07
11937	08-5717		USA	North America				Mycobacterium bovis	2008	Pig	SB0145	EU1			draft	ENA SRA	SRR1792152			8	1	2020-01-07	2020-01-07
11938	08-5820		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792153			8	1	2020-01-07	2020-01-07
11939	08-6018		USA	North America				Mycobacterium bovis	2008	Cow	SB0971	EU1			draft	ENA SRA	SRR1792154			8	1	2020-01-07	2020-01-07
11940	08-6489		USA	North America				Mycobacterium bovis	2008	Cow	SB0121	EU2			draft	ENA SRA	SRR1792155			8	1	2020-01-07	2020-01-07
