BioSample	country
SAMEA1403779	Russia
SAMEA1403780	Russia
SAMEA1403781	Russia
SAMEA1403782	Russia
SAMEA1403783	Russia
SAMEA1403784	Russia
SAMEA1403785	Russia
SAMEA1403786	Russia
SAMEA1403787	Russia
SAMEA1403790	Russia
SAMEA1403791	Russia
SAMEA1403792	Russia
SAMEA1403793	Russia
SAMEA1403795	Russia
SAMEA1403796	Russia
SAMEA1403797	Russia
SAMEA1403798	Russia
SAMEA1403799	Russia
SAMEA1403800	Russia
SAMEA1403801	Russia
SAMEA1403803	Russia
SAMEA1403805	Russia
SAMEA1403806	Russia
SAMEA1403807	Russia
SAMEA1403808	Russia
SAMEA1403810	Russia
SAMEA1403811	Russia
SAMEA1403812	Russia
SAMEA1403813	Russia
SAMEA1403814	Russia
SAMEA1403815	Russia
SAMEA1403816	Russia
SAMEA1403817	Russia
SAMEA1403818	Russia
SAMEA1403819	Russia
SAMEA1403821	Russia
SAMEA1403822	Russia
SAMEA1403823	Russia
SAMEA1403824	Russia
SAMEA1403825	Russia
SAMEA1403826	Russia
SAMEA1403827	Russia
SAMEA1403828	Russia
SAMEA1403829	Russia
SAMEA1403830	Russia
SAMEA1403831	Russia
SAMEA1403832	Russia
SAMEA1403833	Russia
SAMEA1403834	Russia
SAMEA1403835	Russia
SAMEA1403836	Russia
SAMEA1403837	Russia
SAMEA1403838	Russia
SAMEA1403840	Russia
SAMEA1403841	Russia
SAMEA1403842	Russia
SAMEA1403843	Russia
SAMEA1403845	Russia
SAMEA1403847	Russia
SAMEA1403848	Russia
SAMEA1403849	Russia
SAMEA1403850	Russia
SAMEA1403851	Russia
SAMEA1403852	Russia
SAMEA1403853	Russia
SAMEA1403854	Russia
SAMEA1403855	Russia
SAMEA1403856	Russia
SAMEA1403857	Russia
SAMEA1403858	Russia
SAMEA1403859	Russia
SAMEA1403860	Russia
SAMEA1403861	Russia
SAMEA1403862	Russia
SAMEA1403863	Russia
SAMEA1403864	Russia
SAMEA1403865	Russia
SAMEA1403866	Russia
SAMEA1403867	Russia
SAMEA1403868	Russia
SAMEA1403869	Russia
SAMEA1403870	Russia
SAMEA1403871	Russia
SAMEA1403872	Russia
SAMEA1403873	Russia
SAMEA1403874	Russia
SAMEA1403876	Russia
SAMEA1403877	Russia
SAMEA1403878	Russia
SAMEA1403879	Russia
SAMEA1403880	Russia
SAMEA1403882	Russia
SAMEA1403883	Russia
SAMEA1403884	Russia
SAMEA1403885	Russia
SAMEA1403886	Russia
SAMEA1403887	Russia
SAMEA1403888	Russia
SAMEA1403890	Russia
SAMEA1403891	Russia
SAMEA1403892	Russia
SAMEA1403893	Russia
SAMEA1403894	Russia
SAMEA1403895	Russia
SAMEA1403896	Russia
SAMEA1403897	Russia
SAMEA1403898	Russia
SAMEA1403899	Russia
SAMEA1403900	Russia
SAMEA1403901	Russia
SAMEA1403902	Russia
SAMEA1403903	Russia
SAMEA1403904	Russia
SAMEA1403905	Russia
SAMEA1403906	Russia
SAMEA1403907	Russia
SAMEA1403908	Russia
SAMEA1403909	Russia
SAMEA1403910	Russia
SAMEA1403911	Russia
SAMEA1403912	Russia
SAMEA1403913	Russia
SAMEA1403914	Russia
SAMEA1403915	Russia
SAMEA1403916	Russia
SAMEA1403917	Russia
SAMEA1403918	Russia
SAMEA1403919	Russia
SAMEA1403920	Russia
SAMEA1403921	Russia
SAMEA1403922	Russia
SAMEA1403923	Russia
SAMEA1403924	Russia
SAMEA1403925	Russia
SAMEA1403927	Russia
SAMEA1403928	Russia
SAMEA1403929	Russia
SAMEA1403930	Russia
SAMEA1403931	Russia
SAMEA1403932	Russia
SAMEA1403933	Russia
SAMEA1403934	Russia
SAMEA1403935	Russia
SAMEA1403936	Russia
SAMEA1403937	Russia
SAMEA1403938	Russia
SAMEA1403939	Russia
SAMEA1403940	Russia
SAMEA1403941	Russia
SAMEA1403942	Russia
SAMEA1403943	Russia
SAMEA1403945	Russia
SAMEA1403948	Russia
SAMEA1403949	Russia
SAMEA1403950	Russia
SAMEA1403951	Russia
SAMEA1403952	Russia
SAMEA1403953	Russia
SAMEA1403954	Russia
SAMEA1403955	Russia
SAMEA1403956	Russia
SAMEA1403957	Russia
SAMEA1403958	Russia
SAMEA1403959	Russia
SAMEA1403960	Russia
SAMEA1403961	Russia
SAMEA1403962	Russia
SAMEA1403963	Russia
SAMEA1403964	Russia
SAMEA1403965	Russia
SAMEA1403966	Russia
SAMEA1403969	Russia
SAMEA1403970	Russia
SAMEA1403971	Russia
SAMEA1403972	Russia
SAMEA1403973	Russia
SAMEA1403974	Russia
SAMEA1403975	Russia
SAMEA1403976	Russia
SAMEA1403977	Russia
SAMEA1403978	Russia
SAMEA1403979	Russia
SAMEA1403980	Russia
SAMEA1403981	Russia
SAMEA1403982	Russia
SAMEA1403983	Russia
SAMEA1403984	Russia
SAMEA1403985	Russia
SAMEA1403986	Russia
SAMEA1403987	Russia
SAMEA1403988	Russia
SAMEA1403989	Russia
SAMEA1403990	Russia
SAMEA1403991	Russia
SAMEA1403992	Russia
SAMEA1403993	Russia
SAMEA1403995	Russia
SAMEA1403996	Russia
SAMEA1403997	Russia
SAMEA1403998	Russia
SAMEA1403999	Russia
SAMEA1404001	Russia
SAMEA1404002	Russia
SAMEA1404003	Russia
SAMEA1404004	Russia
SAMEA1404005	Russia
SAMEA1404006	Russia
SAMEA1404007	Russia
SAMEA1404008	Russia
SAMEA1404009	Russia
SAMEA1404010	Russia
SAMEA1404011	Russia
SAMEA1404012	Russia
SAMEA1404013	Russia
SAMEA1404014	Russia
SAMEA1404015	Russia
SAMEA1404016	Russia
SAMEA1404017	Russia
SAMEA1404018	Russia
SAMEA1404020	Russia
SAMEA1404021	Russia
SAMEA1404022	Russia
SAMEA1404023	Russia
SAMEA1404024	Russia
SAMEA1404025	Russia
SAMEA1404026	Russia
SAMEA1404027	Russia
SAMEA1404028	Russia
SAMEA1404029	Russia
SAMEA1404030	Russia
SAMEA1404031	Russia
SAMEA1404032	Russia
SAMEA1404033	Russia
SAMEA1404035	Russia
SAMEA1404036	Russia
SAMEA1404038	Russia
SAMEA1404039	Russia
SAMEA1404040	Russia
SAMEA1404041	Russia
SAMEA1404042	Russia
SAMEA1404043	Russia
SAMEA1404044	Russia
SAMEA1404045	Russia
SAMEA1404046	Russia
SAMEA1404047	Russia
SAMEA1404048	Russia
SAMEA1469485	Russia
SAMEA1469486	Russia
