BioSample	host_tissue_sampled
SAMN02874015	Sputum
SAMN02887314	Sputum
SAMN03002394	Sputum
SAMN03257096	Sputum
SAMN03265108	Sputum
SAMN03267964	Sputum
SAMN03272559	Sputum
SAMN03290670	Laryngopharyngeal lymph node
SAMN03290698	Cerebrospinal fluid
SAMN03290700	Cerebrospinal fluid
SAMN03338741	Cerebrospinal fluid
SAMN03338742	Sputum
SAMN03338743	Sputum
SAMN03338744	Sputum
SAMN03372109	Sputum
SAMN03460429	Sputum
SAMN03496755	Sputum
SAMN03776961	Pectoral limph nodes
SAMN03793145	Cerebrospinal fluid
SAMN03793146	Cerebrospinal fluid
SAMN03793151	Cerebrospinal fluid
SAMN03840761	Sputum
SAMN03861514	Sputum
SAMN03921880	Sputum
SAMN03941250	Sputum
SAMN04023334	Sputum
SAMN04117128	Sputum
SAMN04159245	Cerebrospinal fluid
SAMN04159257	Cerebrospinal fluid
SAMN04241384	Laryngopharyngeal lymph node
SAMN04479830	Sputum
SAMN04491053	Sputum
SAMN04492771	Sputum
SAMN04492779	Sputum
SAMN04492780	Sputum
SAMN04492781	Sputum
SAMN04492782	Sputum
SAMN04492783	Sputum
SAMN04492784	Tracheal secretion
SAMN04492785	Cerebrospinal fluid
SAMN04492786	Sputum
SAMN04492787	Sputum
SAMN04492789	Sputum
SAMN04492790	Sputum
SAMN04492791	Sputum
SAMN04492792	Gastric lavage
SAMN04492793	Sputum
SAMN04550924	Sputum
SAMN04595071	Sputum
SAMN04595072	Sputum
SAMN04599205	Sputum
SAMN04910091	Cerebrospinal fluid
SAMN04910094	Cerebrospinal fluid
SAMN04910096	Cerebrospinal fluid
SAMN04910097	Cerebrospinal fluid
SAMN04910098	Cerebrospinal fluid
SAMN04910113	Cerebrospinal fluid
SAMN05187972	Sputum
SAMN05447655	Sputum
SAMN05447658	Sputum
SAMN05725038	Mandibular lymph node
SAMN05791987	Brain
SAMN05933692	Sputum
SAMN05933699	Sputum
SAMN06077019	Sputum
SAMN06100257	Sputum
SAMN06141171	Sputum
SAMN06169721	Sputum
SAMN06169722	Sputum
SAMN06250727	Retropharyngeal lymph node
SAMN06250728	Mediastinal lymph node
SAMN06292065	Cerebrospinal fluid
SAMN06292067	Cerebrospinal fluid
SAMN06292590	Sputum
SAMN06292592	Sputum
SAMN06462277	Granulomatous lesion in lymph node
SAMN06462279	Lymph node and lung
SAMN06563651	Sputum
SAMN06563652	Sputum
SAMN06563653	Sputum
SAMN06563654	Sputum
SAMN06563655	Sputum
SAMN06563656	Sputum
SAMN06563657	Sputum
SAMN06563658	Sputum
SAMN06563659	Sputum
SAMN06563660	Sputum
SAMN06624811	Sputum
